TD Error Mean: 0.0085, TD Error Std: 0.0049, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.4573, Log Prob Mean: -5.5070, Log Prob Std: 0.6152, Alpha: 0.9901, Log Alpha: -0.0099
TD Error Mean: 0.0078, TD Error Std: 0.0052, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3513, Log Prob Mean: -5.4015, Log Prob Std: 0.5193, Alpha: 0.9900, Log Alpha: -0.0100
TD Error Mean: 0.0075, TD Error Std: 0.0056, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3696, Log Prob Mean: -5.4242, Log Prob Std: 0.5246, Alpha: 0.9899, Log Alpha: -0.0101
TD Error Mean: 0.0078, TD Error Std: 0.0045, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3071, Log Prob Mean: -5.3648, Log Prob Std: 0.3171, Alpha: 0.9898, Log Alpha: -0.0102
TD Error Mean: 0.0069, TD Error Std: 0.0037, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3656, Log Prob Mean: -5.4220, Log Prob Std: 0.4231, Alpha: 0.9897, Log Alpha: -0.0103
TD Error Mean: 0.0061, TD Error Std: 0.0047, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.4802, Log Prob Mean: -5.5293, Log Prob Std: 0.5004, Alpha: 0.9896, Log Alpha: -0.0104
TD Error Mean: 0.0072, TD Error Std: 0.0051, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.3037, Log Prob Mean: -5.3564, Log Prob Std: 0.3618, Alpha: 0.9895, Log Alpha: -0.0105
TD Error Mean: 0.0058, TD Error Std: 0.0046, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.4392, Log Prob Mean: -5.4914, Log Prob Std: 0.4568, Alpha: 0.9894, Log Alpha: -0.0106
TD Error Mean: 0.0051, TD Error Std: 0.0031, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.5696, Log Prob Mean: -5.6222, Log Prob Std: 0.4507, Alpha: 0.9893, Log Alpha: -0.0107
TD Error Mean: 0.0065, TD Error Std: 0.0052, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.2556, Log Prob Mean: -5.2982, Log Prob Std: 0.4038, Alpha: 0.9892, Log Alpha: -0.0108
TD Error Mean: 0.0045, TD Error Std: 0.0039, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.2773, Log Prob Mean: -5.3333, Log Prob Std: 0.3734, Alpha: 0.9891, Log Alpha: -0.0109
TD Error Mean: 0.0067, TD Error Std: 0.0043, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.5331, Log Prob Mean: -5.5782, Log Prob Std: 0.3703, Alpha: 0.9890, Log Alpha: -0.0110
TD Error Mean: 0.0061, TD Error Std: 0.0041, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.3078, Log Prob Mean: -5.3612, Log Prob Std: 0.3990, Alpha: 0.9889, Log Alpha: -0.0111
TD Error Mean: 0.0062, TD Error Std: 0.0053, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.2928, Log Prob Mean: -5.3276, Log Prob Std: 0.3727, Alpha: 0.9888, Log Alpha: -0.0112
TD Error Mean: 0.0058, TD Error Std: 0.0038, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.3612, Log Prob Mean: -5.4157, Log Prob Std: 0.4469, Alpha: 0.9887, Log Alpha: -0.0113
TD Error Mean: 0.0066, TD Error Std: 0.0056, Q1 Loss: 0.0001, Q2 Loss: 0.0000, Policy Loss: -5.2984, Log Prob Mean: -5.3499, Log Prob Std: 0.3570, Alpha: 0.9886, Log Alpha: -0.0114
TD Error Mean: 0.0043, TD Error Std: 0.0029, Q1 Loss: 0.0000, Q2 Loss: 0.0000, Policy Loss: -5.3749, Log Prob Mean: -5.4231, Log Prob Std: 0.4468, Alpha: 0.9885, Log Alpha: -0.0115
